2024-09-12T02:29:31.172Z P:10060 T:24664] SyncServiceImpl::Initialize,SyncState after authenticated was: NotSignedIn
2024-09-12T02:29:35.335Z P:10060 T:24664] SyncServiceImpl::TryStartImpl,Try to start sync engine
2024-09-12T02:29:35.336Z P:10060 T:26808] SyncManagerImpl::ConfigureSyncer,Types to download: Encryption Keys
2024-09-12T02:29:35.477Z P:10060 T:24664] SyncAuthManager::SetLastAuthError,Current auth error: None
2024-09-12T02:29:35.477Z P:10060 T:24664] SyncAuthManager::EdgeLogTokenErrorState,Token error with: None for account type: AAD
2024-09-12T02:29:35.477Z P:10060 T:24664] SyncServiceImpl::CredentialsChangedForKeyData,Credentials changed for: EdgeSyncKeyDataScope
2024-09-12T02:29:35.510Z P:10060 T:24664] SyncAuthManager::SetLastAuthError,Current auth error: None
2024-09-12T02:29:35.510Z P:10060 T:24664] SyncAuthManager::EdgeLogTokenErrorState,Token error with: None for account type: AAD
2024-09-12T02:29:35.510Z P:10060 T:24664] SyncServiceImpl::CredentialsChanged,Credentials changed for: EdgeSyncScopeNew
2024-09-12T02:29:37.071Z P:10060 T:24664] SyncServiceImpl::OnEngineInitialized,Initialize engine with: Success
2024-09-12T02:29:37.073Z P:10060 T:24664] ModelLoadManager::Configure,Desired types without errors: Bookmarks, Preferences, Passwords, Autofill Profiles, Autofill, Extensions, Extension settings, Device Info, User Consents, Send Tab To Self, Web Apps, Collection, Edge E Drop, Edge Hub App Usage, Edge Wallet, Encryption Keys and types with errors: 
2024-09-12T02:29:37.073Z P:10060 T:24664] ModelLoadManager::ModelLoadCallback,Load Bookmarks: success
2024-09-12T02:29:37.073Z P:10060 T:24664] ModelLoadManager::LoadDesiredTypes,Loading type: Bookmarks
2024-09-12T02:29:37.073Z P:10060 T:24664] ModelLoadManager::LoadDesiredTypes,Loading type: Preferences
2024-09-12T02:29:37.073Z P:10060 T:24664] ModelLoadManager::LoadDesiredTypes,Loading type: Passwords
2024-09-12T02:29:37.073Z P:10060 T:24664] ModelLoadManager::LoadDesiredTypes,Loading type: Autofill Profiles
2024-09-12T02:29:37.073Z P:10060 T:24664] ModelLoadManager::LoadDesiredTypes,Loading type: Autofill
2024-09-12T02:29:37.073Z P:10060 T:24664] ModelLoadManager::LoadDesiredTypes,Loading type: Extensions
2024-09-12T02:29:37.073Z P:10060 T:24664] ModelLoadManager::LoadDesiredTypes,Loading type: Extension settings
2024-09-12T02:29:37.074Z P:10060 T:24664] ModelLoadManager::LoadDesiredTypes,Loading type: Device Info
2024-09-12T02:29:37.074Z P:10060 T:24664] ModelLoadManager::LoadDesiredTypes,Loading type: User Consents
2024-09-12T02:29:37.074Z P:10060 T:24664] ModelLoadManager::LoadDesiredTypes,Loading type: Send Tab To Self
2024-09-12T02:29:37.074Z P:10060 T:24664] ModelLoadManager::LoadDesiredTypes,Loading type: Web Apps
2024-09-12T02:29:37.074Z P:10060 T:24664] ModelLoadManager::LoadDesiredTypes,Loading type: Collection
2024-09-12T02:29:37.074Z P:10060 T:24664] ModelLoadManager::LoadDesiredTypes,Loading type: Edge E Drop
2024-09-12T02:29:37.074Z P:10060 T:24664] ModelLoadManager::LoadDesiredTypes,Loading type: Edge Hub App Usage
2024-09-12T02:29:37.074Z P:10060 T:24664] ModelLoadManager::LoadDesiredTypes,Loading type: Edge Wallet
2024-09-12T02:29:37.077Z P:10060 T:24664] ModelLoadManager::ModelLoadCallback,Load Preferences: success
2024-09-12T02:29:37.077Z P:10060 T:24664] ModelLoadManager::ModelLoadCallback,Load Extensions: success
2024-09-12T02:29:37.077Z P:10060 T:24664] ModelLoadManager::ModelLoadCallback,Load Passwords: success
2024-09-12T02:29:37.077Z P:10060 T:24664] ModelLoadManager::ModelLoadCallback,Load Extension settings: success
2024-09-12T02:29:37.077Z P:10060 T:24664] ModelLoadManager::ModelLoadCallback,Load Device Info: success
2024-09-12T02:29:37.077Z P:10060 T:24664] ModelLoadManager::ModelLoadCallback,Load Autofill Profiles: success
2024-09-12T02:29:37.077Z P:10060 T:24664] ModelLoadManager::ModelLoadCallback,Load Autofill: success
2024-09-12T02:29:37.077Z P:10060 T:24664] ModelLoadManager::ModelLoadCallback,Load User Consents: success
2024-09-12T02:29:37.077Z P:10060 T:24664] ModelLoadManager::ModelLoadCallback,Load Send Tab To Self: success
2024-09-12T02:29:37.077Z P:10060 T:24664] ModelLoadManager::ModelLoadCallback,Load Web Apps: success
2024-09-12T02:29:37.077Z P:10060 T:24664] ModelLoadManager::ModelLoadCallback,Load Collection: success
2024-09-12T02:29:37.077Z P:10060 T:24664] ModelLoadManager::ModelLoadCallback,Load Edge Hub App Usage: success
2024-09-12T02:29:37.077Z P:10060 T:24664] ModelLoadManager::ModelLoadCallback,Load Edge Wallet: success
2024-09-12T02:29:37.077Z P:10060 T:24664] ModelLoadManager::ModelLoadCallback,Load Edge E Drop: success
2024-09-12T02:29:37.077Z P:10060 T:24664] DataTypeManagerImpl::OnAllDataTypesReadyForConfigure,Start to configure data types
2024-09-12T02:29:37.077Z P:10060 T:24664] DataTypeManagerImpl::StartNextConfiguration,Remain to be configured size: 4 and next configuring types are: Encryption Keys
2024-09-12T02:29:37.077Z P:10060 T:24664] DataTypeManagerImpl::PrepareConfigureParams,Prepare to be configured types: 
2024-09-12T02:29:37.078Z P:10060 T:26808] SyncManagerImpl::ConfigureSyncer,Types to download: 
2024-09-12T02:29:37.078Z P:10060 T:24664] DataTypeManagerImpl::ConfigurationCompleted,Remain to be configured size: 3
2024-09-12T02:29:37.078Z P:10060 T:24664] DataTypeManagerImpl::StartNextConfiguration,Remain to be configured size: 3 and next configuring types are: Preferences, Passwords, Device Info, Send Tab To Self, Edge E Drop
2024-09-12T02:29:37.078Z P:10060 T:24664] DataTypeManagerImpl::PrepareConfigureParams,Prepare to be configured types: Preferences, Passwords, Device Info, Send Tab To Self, Edge E Drop, Encryption Keys
2024-09-12T02:29:37.078Z P:10060 T:26808] SyncManagerImpl::ConfigureSyncer,Types to download: Preferences, Passwords, Device Info, Send Tab To Self, Edge E Drop, Encryption Keys
2024-09-12T02:29:37.373Z P:10060 T:24664] DataTypeManagerImpl::ConfigurationCompleted,Remain to be configured size: 2
2024-09-12T02:29:37.373Z P:10060 T:24664] DataTypeManagerImpl::StartNextConfiguration,Remain to be configured size: 2 and next configuring types are: Bookmarks
2024-09-12T02:29:37.373Z P:10060 T:24664] DataTypeManagerImpl::PrepareConfigureParams,Prepare to be configured types: Bookmarks, Encryption Keys
2024-09-12T02:29:37.373Z P:10060 T:26808] SyncManagerImpl::ConfigureSyncer,Types to download: Bookmarks, Encryption Keys
2024-09-12T02:29:37.622Z P:10060 T:24664] DataTypeManagerImpl::ConfigurationCompleted,Remain to be configured size: 1
2024-09-12T02:29:37.624Z P:10060 T:24664] DataTypeManagerImpl::StartNextConfiguration,Remain to be configured size: 1 and next configuring types are: Autofill Profiles, Autofill, Extensions, Extension settings, User Consents, Web Apps, Collection, Edge Hub App Usage, Edge Wallet
2024-09-12T02:29:37.624Z P:10060 T:24664] DataTypeManagerImpl::PrepareConfigureParams,Prepare to be configured types: Autofill Profiles, Autofill, Extensions, Extension settings, Web Apps, Collection, Edge Hub App Usage, Edge Wallet, Encryption Keys
2024-09-12T02:29:37.624Z P:10060 T:26808] SyncManagerImpl::ConfigureSyncer,Types to download: Autofill Profiles, Autofill, Extensions, Extension settings, Web Apps, Collection, Edge Hub App Usage, Edge Wallet, Encryption Keys
2024-09-12T02:29:37.950Z P:10060 T:24664] DataTypeManagerImpl::ConfigurationCompleted,Remain to be configured size: 0
2024-09-12T02:29:37.951Z P:10060 T:24664] SyncServiceImpl::OnConfigureDone,Configure DataTypeManager with: Ok
2024-09-12T02:29:38.674Z P:10060 T:18136] Commit::PostAndProcessResponse,Process Device Info: Success
2024-09-12T02:29:38.674Z P:10060 T:18136] Commit::PostAndProcessResponse,Process User Consents: Success
2024-09-12T02:29:41.481Z P:10060 T:26808] Commit::PostAndProcessResponse,Process User Consents: Success
2024-09-12T02:30:03.651Z P:10060 T:26808] Commit::PostAndProcessResponse,Process Preferences: Success
2024-09-12T02:47:43.758Z P:1092 T:20876] SyncServiceImpl::Initialize,SyncState after authenticated was: FeatureCanStart
2024-09-12T02:47:46.046Z P:1092 T:20876] SyncAuthManager::SetLastAuthError,Current auth error: None
2024-09-12T02:47:46.046Z P:1092 T:20876] SyncAuthManager::EdgeLogTokenErrorState,Token error with: None for account type: AAD
2024-09-12T02:47:46.046Z P:1092 T:20876] SyncServiceImpl::CredentialsChangedForKeyData,Credentials changed for: EdgeSyncKeyDataScope
2024-09-12T02:47:46.046Z P:1092 T:20876] SyncServiceImpl::TryStartImpl,Try to start sync engine
2024-09-12T02:47:46.048Z P:1092 T:22672] SyncManagerImpl::ConfigureSyncer,Types to download: Encryption Keys
2024-09-12T02:47:46.107Z P:1092 T:20876] SyncAuthManager::SetLastAuthError,Current auth error: None
2024-09-12T02:47:46.107Z P:1092 T:20876] SyncAuthManager::EdgeLogTokenErrorState,Token error with: None for account type: AAD
2024-09-12T02:47:46.107Z P:1092 T:20876] SyncServiceImpl::CredentialsChanged,Credentials changed for: EdgeSyncScopeNew
2024-09-12T02:47:47.750Z P:1092 T:20876] SyncServiceImpl::OnEngineInitialized,Initialize engine with: Success
2024-09-12T02:47:47.752Z P:1092 T:20876] ModelLoadManager::Configure,Desired types without errors: Bookmarks, Preferences, Passwords, Autofill Profiles, Autofill, Extensions, Extension settings, Device Info, User Consents, Send Tab To Self, Web Apps, Collection, Edge E Drop, Edge Hub App Usage, Edge Wallet, Encryption Keys and types with errors: 
2024-09-12T02:47:47.752Z P:1092 T:20876] ModelLoadManager::ModelLoadCallback,Load Bookmarks: success
2024-09-12T02:47:47.752Z P:1092 T:20876] ModelLoadManager::LoadDesiredTypes,Loading type: Bookmarks
2024-09-12T02:47:47.752Z P:1092 T:20876] ModelLoadManager::LoadDesiredTypes,Loading type: Preferences
2024-09-12T02:47:47.752Z P:1092 T:20876] ModelLoadManager::LoadDesiredTypes,Loading type: Passwords
2024-09-12T02:47:47.752Z P:1092 T:20876] ModelLoadManager::LoadDesiredTypes,Loading type: Autofill Profiles
2024-09-12T02:47:47.752Z P:1092 T:20876] ModelLoadManager::LoadDesiredTypes,Loading type: Autofill
2024-09-12T02:47:47.752Z P:1092 T:20876] ModelLoadManager::LoadDesiredTypes,Loading type: Extensions
2024-09-12T02:47:47.752Z P:1092 T:20876] ModelLoadManager::LoadDesiredTypes,Loading type: Extension settings
2024-09-12T02:47:47.753Z P:1092 T:20876] ModelLoadManager::LoadDesiredTypes,Loading type: Device Info
2024-09-12T02:47:47.753Z P:1092 T:20876] ModelLoadManager::LoadDesiredTypes,Loading type: User Consents
2024-09-12T02:47:47.753Z P:1092 T:20876] ModelLoadManager::LoadDesiredTypes,Loading type: Send Tab To Self
2024-09-12T02:47:47.753Z P:1092 T:20876] ModelLoadManager::LoadDesiredTypes,Loading type: Web Apps
2024-09-12T02:47:47.753Z P:1092 T:20876] ModelLoadManager::LoadDesiredTypes,Loading type: Collection
2024-09-12T02:47:47.753Z P:1092 T:20876] ModelLoadManager::LoadDesiredTypes,Loading type: Edge E Drop
2024-09-12T02:47:47.753Z P:1092 T:20876] ModelLoadManager::LoadDesiredTypes,Loading type: Edge Hub App Usage
2024-09-12T02:47:47.753Z P:1092 T:20876] ModelLoadManager::LoadDesiredTypes,Loading type: Edge Wallet
2024-09-12T02:47:47.756Z P:1092 T:20876] ModelLoadManager::ModelLoadCallback,Load Preferences: success
2024-09-12T02:47:47.756Z P:1092 T:20876] ModelLoadManager::ModelLoadCallback,Load Extensions: success
2024-09-12T02:47:47.756Z P:1092 T:20876] ModelLoadManager::ModelLoadCallback,Load Passwords: success
2024-09-12T02:47:47.756Z P:1092 T:20876] ModelLoadManager::ModelLoadCallback,Load Autofill Profiles: success
2024-09-12T02:47:47.756Z P:1092 T:20876] ModelLoadManager::ModelLoadCallback,Load Autofill: success
2024-09-12T02:47:47.756Z P:1092 T:20876] ModelLoadManager::ModelLoadCallback,Load Extension settings: success
2024-09-12T02:47:47.756Z P:1092 T:20876] ModelLoadManager::ModelLoadCallback,Load Device Info: success
2024-09-12T02:47:47.756Z P:1092 T:20876] ModelLoadManager::ModelLoadCallback,Load User Consents: success
2024-09-12T02:47:47.756Z P:1092 T:20876] ModelLoadManager::ModelLoadCallback,Load Send Tab To Self: success
2024-09-12T02:47:47.756Z P:1092 T:20876] ModelLoadManager::ModelLoadCallback,Load Web Apps: success
2024-09-12T02:47:47.756Z P:1092 T:20876] ModelLoadManager::ModelLoadCallback,Load Collection: success
2024-09-12T02:47:47.756Z P:1092 T:20876] ModelLoadManager::ModelLoadCallback,Load Edge Hub App Usage: success
2024-09-12T02:47:47.756Z P:1092 T:20876] ModelLoadManager::ModelLoadCallback,Load Edge E Drop: success
2024-09-12T02:47:47.756Z P:1092 T:20876] ModelLoadManager::ModelLoadCallback,Load Edge Wallet: success
2024-09-12T02:47:47.756Z P:1092 T:20876] DataTypeManagerImpl::OnAllDataTypesReadyForConfigure,Start to configure data types
